[0.0, 0.0]
[0.375, 0.0]
[0.376, 0.0]
[0.377, 0.0]
[0.378, 0.0]
[0.379, 0.0]
[0.38, 0.0]
[0.381, 0.0]
[0.382, 0.0]
[0.383, 0.0]
[0.384, 0.0]
[0.385, 0.0]
[0.386, 0.0]
[0.387, 0.0]
[0.388, 0.0]
[0.389, 0.0]
[0.39, 0.0]
[0.391, 0.0]
[0.392, 0.0]
[0.393, 0.0]
[0.394, 0.0]
[0.395, 0.0]
[0.396, 0.0]
[0.397, 0.0]
[0.398, 0.0]
[0.399, 0.0]
[0.4, 0.0]
[0.401, 0.0]
[0.402, 0.0]
[0.403, 0.0]
[0.404, 0.0]
[0.405, 0.0]
[0.406, 0.0]
[0.407, 0.0]
[0.408, 0.0]
[0.409, 0.0]
[0.41, 0.0]
[0.411, 0.0]
[0.412, 0.0]
[0.413, 0.0]
[0.414, 0.0]
[0.415, 0.0]
[0.416, 0.0]
[0.417, 0.0]
[0.418, 0.0]
[0.419, 0.0]
[0.42, 0.0]
[0.421, 0.0]
[0.422, 0.0]
[0.423, 0.0]
[0.424, 0.0]
[0.425, 0.0]
[0.426, 0.0]
[0.427, 0.0]
[0.428, 0.0]
[0.429, 0.0]
[0.43, 0.0]
[0.431, 0.0]
[0.432, 0.0]
[0.433, 0.0]
[0.434, 0.0]
[0.435, 0.0]
[0.436, 0.0]
[0.437, 0.0]
[0.438, 0.0]
[0.439, 0.0]
[0.44, 0.0]
[0.441, 0.0]
[0.442, 0.0]
[0.443, 0.0]
[0.444, 0.0]
[0.445, 0.0]
[0.446, 0.0]
[0.447, 0.0]
[0.448, 0.0]
[0.449, 0.0]
[0.45, 0.0]
[0.451, 0.0]
[0.452, 0.0]
[0.453, 0.0]
[0.454, 0.0]
[0.455, 0.0]
[0.456, 0.0]
[0.457, 0.0]
[0.458, 0.0]
[0.459, 0.0]
[0.46, 0.0]
[0.461, 0.0]
[0.462, 0.0]
[0.463, 0.0]
[0.464, 0.0]
[0.465, 0.0]
[0.466, 0.0]
[0.467, 0.0]
[0.468, 0.0]
[0.469, 0.0]
[0.47, 0.0]
[0.471, 0.0]
[0.472, 0.0]
[0.473, 0.0]
[0.474, 0.0]
[0.475, 0.0]
[0.476, 0.0]
[0.477, 0.0]
[0.478, 0.0]
[0.479, 0.0]
[0.48, 0.0]
[0.481, 0.0]
[0.482, 0.0]
[0.483, 0.0]
[0.484, 0.0]
[0.485, 0.0]
[0.486, 0.0]
[0.487, 0.0]
[0.488, 0.0]
[0.489, 0.0]
[0.49, 0.0]
[0.491, 0.0]
[0.492, 0.0]
[0.493, 0.0]
[0.494, 0.0]
[0.495, 0.0]
[0.496, 0.0]
[0.497, 0.0]
[0.498, 0.0]
[0.499, 0.0]
[0.5, 0.0]
[0.501, 0.0]
[0.502, 0.0]
[0.503, 0.0]
[0.504, 0.0]
[0.505, 0.0]
[0.506, 0.0]
[0.507, 0.0]
[0.508, 0.0]
[0.509, 0.0]
[0.51, 0.0]
[0.511, 0.0]
[0.512, 0.0]
[0.513, 0.0]
[0.514, 0.0]
[0.515, 0.0]
[0.516, 0.0]
[0.517, 0.0]
[0.518, 0.0]
[0.519, 0.0]
[0.52, 0.0]
[0.521, 0.0]
[0.522, 0.0]
[0.523, 0.0]
[0.524, 0.0]
[0.525, 0.0]
[0.526, 0.0]
[0.527, 0.0]
[0.528, 0.0]
[0.529, 0.0]
[0.53, 0.0]
[0.531, 0.0]
[0.532, 0.0]
[0.533, 0.0]
[0.534, 0.0]
[0.535, 0.0]
[0.536, 0.0]
[0.537, 0.0]
[0.538, 0.0]
[0.539, 0.0]
[0.54, 0.0]
[0.541, 0.0]
[0.542, 0.0]
[0.543, 0.0]
[0.544, 0.0]
[0.545, 0.0]
[0.546, 0.0]
[0.547, 0.0]
[0.548, 0.0]
[0.549, 0.0]
[0.55, 0.0]
[0.551, 0.0]
[0.552, 0.0]
[0.553, 0.0]
[0.554, 0.0]
[0.555, 0.0]
[0.556, 0.0]
[0.557, 0.0]
[0.558, 0.0]
[0.559, 0.0]
[0.56, 0.0]
[0.561, 0.0]
[0.562, 0.0]
[0.563, 0.0]
[0.564, 0.0]
[0.565, 0.0]
[0.566, 0.0]
[0.567, 0.0]
[0.568, 0.0]
[0.569, 0.0]
[0.57, 0.0]
[0.571, 0.0]
[0.572, 0.0]
[0.573, 0.0]
[0.574, 0.0]
[0.575, 0.0]
[0.576, 0.0]
[0.577, 0.0]
[0.578, 0.0]
[0.579, 0.0]
[0.58, 0.0]
[0.581, 0.0]
[0.582, 0.0]
[0.583, 0.0]
[0.584, 0.0]
[0.585, 0.0]
[0.586, 0.0]
[0.587, 0.0]
[0.588, 0.0]
[0.589, 0.0]
[0.59, 0.0]
[0.591, 0.0]
[0.592, 0.0]
[0.593, 0.0]
[0.594, 0.0]
[0.595, 0.0]
[0.596, 0.0]
[0.597, 0.0]
[0.598, 0.0]
[0.599, 0.0]
[0.6, 0.0]
[0.601, 0.0]
[0.602, 0.0]
[0.603, 0.0]
[0.604, 0.0]
[0.605, 0.0]
[0.606, 0.0]
[0.607, 0.0]
[0.608, 0.0]
[0.609, 0.0]
[0.61, 0.0]
[0.611, 0.0]
[0.612, 0.0]
[0.613, 0.0]
[0.614, 0.0]
[0.615, 0.0]
[0.616, 0.0]
[0.617, 0.0]
[0.618, 0.0]
[0.619, 0.0]
[0.62, 0.0]
[0.621, 0.0]
[0.622, 0.0]
[0.623, 0.0]
[0.624, 0.0]
[0.625, 0.0]
[0.626, 0.0]
[0.627, 0.0]
[0.628, 0.0]
[0.629, 0.0]
[0.63, 0.0]
[0.631, 0.0]
[0.632, 0.0]
[0.633, 0.0]
[0.634, 0.0]
[0.635, 0.0]
[0.636, 0.0]
[0.637, 0.0]
[0.638, 0.0]
[0.639, 0.0]
[0.64, 0.0]
[0.641, 0.0]
[0.642, 0.0]
[0.643, 0.0]
[0.644, 0.0]
[0.645, 0.0]
[0.646, 0.0]
[0.647, 0.0]
[0.648, 0.0]
[0.649, 0.0]
[0.65, 0.0]
[0.651, 0.0]
[0.652, 0.0]
[0.653, 0.0]
[0.654, 0.0]
[0.655, 0.0]
[0.656, 0.0]
[0.657, 0.0]
[0.658, 0.0]
[0.659, 0.0]
[0.66, 0.0]
[0.661, 0.0]
[0.662, 0.0]
[0.663, 0.0]
[0.664, 0.0]
[0.665, 0.0]
[0.666, 0.0]
[0.667, 0.0]
[0.668, 0.0]
[0.669, 0.0]
[0.67, 0.0]
[0.671, 0.0]
[0.672, 0.0]
[0.673, 0.0]
[0.674, 0.0]
[0.675, 0.0]
[0.676, 0.0]
[0.677, 0.0]
[0.678, 0.0]
[0.679, 0.0]
[0.68, 0.0]
[0.681, 0.0]
[0.682, 0.0]
[0.683, 0.0]
[0.684, 0.0]
[0.685, 0.0]
[0.686, 0.0]
[0.687, 0.0]
[0.688, 0.0]
[0.689, 0.0]
[0.69, 0.0]
[0.691, 0.0]
[0.692, 0.0]
[0.693, 0.0]
[0.694, 0.0]
[0.695, 0.0]
[0.696, 0.0]
[0.697, 0.0]
[0.698, 0.0]
[0.699, 0.0]
[0.7, 0.0]
[0.701, 0.0]
[0.702, 0.0]
[0.703, 0.0]
[0.704, 0.0]
[0.705, 0.0]
[0.706, 0.0]
[0.707, 0.0]
[0.708, 0.0]
[0.709, 0.0]
[0.71, 0.0]
[0.711, 0.0]
[0.712, 0.0]
[0.713, 0.0]
[0.714, 0.0]
[0.715, 0.0]
[0.716, 0.0]
[0.717, 0.0]
[0.718, 0.0]
[0.719, 0.0]
[0.72, 0.0]
[0.721, 0.0]
[0.722, 0.0]
[0.723, 0.0]
[0.724, 0.0]
[0.725, 0.0]
[0.726, 0.0]
[0.727, 0.0]
[0.728, 0.0]
[0.729, 0.0]
[0.73, 0.0]
[0.731, 0.0]
[0.732, 0.0]
[0.733, 0.0]
[0.734, 0.0]
[0.735, 0.0]
[0.736, 0.0]
[0.737, 0.0]
[0.738, 0.0]
[0.739, 0.0]
[0.74, 0.0]
[0.741, 0.0]
[0.742, 0.0]
[0.743, 0.0]
[0.744, 0.0]
[0.745, 0.0]
[0.746, 0.0]
[0.747, 0.0]
[0.748, 0.0]
[0.749, 0.0]
[0.75, 0.0]
[0.751, 0.0]
[0.752, 0.0]
[0.753, 0.0]
[0.754, 0.0]
[0.755, 0.0]
[0.756, 0.0]
[0.757, 0.0]
[0.758, 0.0]
[0.759, 0.0]
[0.76, 0.0]
[0.761, 0.0]
[0.762, 0.0]
[0.763, 0.0]
[0.764, 0.0]
[0.765, 0.0]
[0.766, 0.0]
[0.767, 0.0]
[0.768, 0.0]
[0.769, 0.0]
[0.77, 0.0]
[0.771, 0.0]
[0.772, 0.0]
[0.773, 0.0]
[0.774, 0.0]
[0.775, 0.0]
[0.776, 0.0]
[0.777, 0.0]
[0.778, 0.0]
[0.779, 0.0]
[0.78, 0.0]
[0.781, 0.0]
[0.782, 0.0]
[0.783, 0.0]
[0.784, 0.0]
[0.785, 0.0]
[0.786, 0.0]
[0.787, 0.0]
[0.788, 0.0]
[0.789, 0.0]
[0.79, 0.0]
[0.791, 0.0]
[0.792, 0.0]
[0.793, 0.0]
[0.794, 0.0]
[0.795, 0.0]
[0.796, 0.0]
[0.797, 0.0]
[0.798, 0.0]
[0.799, 0.0]
[0.8, 0.0]
[0.801, 0.0]
[0.802, 0.0]
[0.803, 0.0]
[0.804, 0.0]
[0.805, 0.0]
[0.806, 0.0]
[0.807, 0.0]
[0.808, 0.0]
[0.809, 0.0]
[0.81, 0.0]
[0.811, 0.0]
[0.812, 0.0]
[0.813, 0.0]
[0.814, 0.0]
[0.815, 0.0]
[0.816, 0.0]
[0.817, 0.0]
[0.818, 0.0]
[0.819, 0.0]
[0.82, 0.0]
[0.821, 0.0]
[0.822, 0.0]
[0.823, 0.0]
[0.824, 0.0]
[0.825, 0.0]
[0.826, 0.0]
[0.827, 0.0]
[0.828, 0.0]
[0.829, 0.0]
[0.83, 0.0]
[0.831, 0.0]
[0.832, 0.0]
[0.833, 0.0]
[0.834, 0.0]
[0.835, 0.0]
[0.836, 0.0]
[0.837, 0.0]
[0.838, 0.0]
[0.839, 0.0]
[0.84, 0.0]
[0.841, 0.0]
[0.842, 0.0]
[0.843, 0.0]
[0.844, 0.0]
[0.845, 0.0]
[0.846, 0.0]
[0.847, 0.0]
[0.848, 0.0]
[0.849, 0.0]
[0.85, 0.0]
[0.851, 0.0]
[0.852, 0.0]
[0.853, 0.0]
[0.854, 0.0]
[0.855, 0.0]
[0.856, 0.0]
[0.857, 0.0]
[0.858, 0.0]
[0.859, 0.0]
[0.86, 0.0]
[0.861, 0.0]
[0.862, 0.0]
[0.863, 0.0]
[0.864, 0.0]
[0.865, 0.0]
[0.866, 0.0]
[0.867, 0.0]
[0.868, 0.0]
[0.869, 0.0]
[0.87, 0.0]
[0.871, 0.0]
[0.872, 0.0]
[0.873, 0.0]
[0.874, 0.0]
[0.875, 0.0]
[0.876, 0.0]
[0.877, 0.0]
[0.878, 0.0]
[0.879, 0.0]
[0.88, 0.0]
[0.881, 0.0]
[0.882, 0.0]
[0.883, 0.0]
[0.884, 0.0]
[0.885, 0.0]
[0.886, 0.0]
[0.887, 0.0]
[0.888, 0.0]
[0.889, 0.0]
[0.89, 0.0]
[0.891, 0.0]
[0.892, 0.0]
[0.893, 0.0]
[0.894, 0.0]
[0.895, 0.0]
[0.896, 0.0]
[0.897, 0.0]
[0.898, 0.0]
[0.899, 0.0]
[0.9, 0.0]
[0.901, 0.0]
[0.902, 0.0]
[0.903, 0.0]
[0.904, 0.0]
[0.905, 0.0]
[0.906, 0.0]
[0.907, 0.0]
[0.908, 0.0]
[0.909, 0.0]
[0.91, 0.0]
[0.911, 0.0]
[0.912, 0.0]
[0.913, 0.0]
[0.914, 0.0]
[0.915, 0.0]
[0.916, 0.0]
[0.917, 0.0]
[0.918, 0.0]
[0.919, 0.0]
[0.92, 0.0]
[0.921, 0.0]
[0.922, 0.0]
[0.923, 0.0]
[0.924, 0.0]
[0.925, 0.0]
[0.926, 0.0]
[0.927, 0.0]
[0.928, 0.0]
[0.929, 0.0]
[0.93, 0.0]
[0.931, 0.0]
[0.932, 0.0]
[0.933, 0.0]
[0.934, 0.0]
[0.935, 0.0]
[0.936, 0.0]
[0.937, 0.0]
[0.938, 0.0]
[0.939, 0.0]
[0.94, 0.0]
[0.941, 0.0]
[0.942, 0.0]
[0.943, 0.0]
[0.944, 0.0]
[0.945, 0.0]
[0.946, 0.0]
[0.947, 0.0]
[0.948, 0.0]
[0.949, 0.0]
[0.95, 0.0]
[0.951, 0.0]
[0.952, 0.0]
[0.953, 0.0]
[0.954, 0.0]
[0.955, 0.0]
[0.956, 0.0]
[0.957, 0.0]
[0.958, 0.0]
[0.959, 0.0]
[0.96, 0.0]
[0.961, 0.0]
[0.962, 0.0]
[0.963, 0.0]
[0.964, 0.0]
[0.965, 0.0]
[0.966, 0.0]
[0.967, 0.0]
[0.968, 0.0]
[0.969, 0.0]
[0.97, 0.0]
[0.971, 0.0]
[0.972, 0.0]
[0.973, 0.0]
[0.974, 0.0]
[0.975, 0.0]
[0.976, 0.0]
[0.977, 0.0]
[0.978, 0.0]
[0.979, 0.0]
[0.98, 0.0]
[0.981, 0.0]
[0.982, 0.0]
[0.983, 0.0]
[0.984, 0.0]
[0.985, 0.0]
[0.986, 0.0]
[0.987, 0.0]
[0.988, 0.0]
[0.989, 0.0]
[0.99, 0.0]
[0.991, 0.0]
[0.992, 0.0]
[0.993, 0.0]
[0.994, 0.0]
[0.995, 0.0]
[0.996, 0.0]
[0.997, 0.0]
[0.998, 0.0]
[0.999, 0.0]
[1.0, 0.0]
[1.0009998696880134, 9.99740392444437E-7]
[1.0019997353775865, 3.998957572036943E-6]
[1.0029995930702944, 8.997639544872981E-6]
[1.0039994387677451, 1.5995766321509564E-5]
[1.0049992684715938, 2.4993309916624186E-5]
[1.0059990781835602, 3.599023434941273E-5]
[1.0069988639054432, 4.898649564364632E-5]
[1.0079986216391381, 6.3982041827785E-5]
[1.0089983473866528, 8.09768129350914E-5]
[1.0099980371501223, 9.997074100425606E-5]
[1.0109976869318251, 1.2096375007922688E-4]
[1.011997292734201, 1.4395575620983436E-4]
[1.0129968505598639, 1.689466674518485E-4]
[1.013996356411621, 1.9593638386766087E-4]
[1.0149958062924869, 2.2492479752634153E-4]
[1.0159951962056994, 2.559117925043779E-4]
[1.0169945221547372, 2.8889724488595904E-4]
[1.017993780143334, 3.23881022763544E-4]
[1.018992966175495, 3.608629862383168E-4]
[1.0199920762555146, 3.9984298742092505E-4]
[1.0209911063879895, 4.408208704317076E-4]
[1.0219900525778367, 4.837964714017744E-4]
[1.0229889108303087, 5.287696184732908E-4]
[1.0239876771510097, 5.757401318004441E-4]
[1.0249863475459118, 6.247078235498975E-4]
[1.02598491802137, 6.756724979017577E-4]
[1.0269833845841398, 7.286339510501989E-4]
[1.0279817432413918, 7.835919712045438E-4]
[1.028979990000728, 8.405463385896041E-4]
[1.0299781208701975, 8.994968254471587E-4]
[1.0309761318583133, 9.60443196036465E-4]
[1.0319740189740687, 0.0010233852066352256]
[1.032971778226951, 0.0010883226055410091]
[1.0339694056269595, 0.0011552551330714209]
[1.0349668971846202, 0.0012241825215659218]
[1.0359642489110026, 0.0012951044953865675]
[1.036961456817736, 0.0013680207709190313]
[1.0379585169170238, 0.0014429310565740251]
[1.0389554252216615, 0.001519835052788153]
[1.0399521777450507, 0.001598732452025274]
[1.0409487705012164, 0.0016796229387777543]
[1.0419451995048223, 0.0017625061895676594]
[1.042941460771187, 0.001847381872947892]
[1.043937550316301, 0.0019342496495041246]
[1.0449334641568397, 0.0020231091718552535]
[1.0459291983101822, 0.0021139600846555025]
[1.0469247487944249, 0.0022068020245956744]
[1.0479201116284012, 0.002301634620404286]
[1.0489152828316926, 0.002398457492849502]
[1.0499102584246478, 0.002497270254740329]
[1.0509050344283977, 0.0025980725109283754]
[1.051899606864871, 0.002700863858309276]
[1.0528939717568104, 0.0028056438858243384]
[1.05388812512779, 0.002912412174462304]
[1.0548820630022282, 0.0030211682972609423]
[1.0558757814054058, 0.0031319118193085843]
[1.0568692763634806, 0.0032446422977462815]
[1.057862543903505, 0.003359359281769059]
[1.0588555800534396, 0.0034760623126280734]
[1.0598483808421715, 0.0035947509236326025]
[1.0608409422995284, 0.003715424640151184]
[1.0618332604562954, 0.003838082979614455]
[1.06282533134423, 0.003962725451516405]
[1.0638171509960788, 0.004089351557416478]
[1.0648087154455927, 0.004217960790941731]
[1.0658000207275447, 0.004348552637788942]
[1.0667910628777426, 0.004481126575726251]
[1.0677818379330468, 0.004615682074595554]
[1.068772341931386, 0.0047522185963146625]
[1.0697625709117726, 0.0048907355948791175]
[1.0707525209143192, 0.005031232516364867]
[1.0717421879802538, 0.005173708798930193]
[1.0727315681519356, 0.00531816387281782]
[1.0737206574728715, 0.005464597160357414]
[1.074709451987731, 0.005613008075967969]
[1.075697947742363, 0.005763396026159853]
[1.0766861407838113, 0.00591576040953754]
[1.0776740271603296, 0.0060701006168017105]
[1.0786616029213982, 0.00622641603075175]
[1.07964886411774, 0.006384706026288313]
[1.080635806801335, 0.006544969970415877]
[1.0816224270254375, 0.006707207222245017]
[1.082608720844591, 0.006871417132995134]
[1.0835946843146445, 0.00703759904599724]
[1.0845803134927678, 0.007205752296696232]
[1.0855656044374682, 0.007375876212653679]
[1.0865505532086044, 0.007547970113550491]
[1.0875351558674042, 0.007722033311189932]
[1.0885194084764802, 0.007898065109499839]
[1.0895033070998434, 0.008076064804535918]
[1.090486847802921, 0.008256031684484242]
[1.0914700266525719, 0.008437965029664042]
[1.0924528397171014, 0.008621864112530943]
[1.0934352830662777, 0.008807728197679637]
[1.0944173527713479, 0.008995556541846668]
[1.0953990449050526, 0.009185348393913842]
[1.096380355541643, 0.009377102994910671]
[1.0973612807568958, 0.009570819578018018]
[1.0983418166281274, 0.009766497368570526]
[1.0993219592342145, 0.0099641355840605]
[1.1003017046556034, 0.010163733434140112]
[1.1012810489743299, 0.010365290120625389]
[1.102259988274034, 0.010568804837498703]
[1.1032385186399747, 0.010774276770912649]
[1.1042166361590469, 0.010981705099192766]
[1.105194336919796, 0.011191088992841287]
[1.1061716170124345, 0.01140242761453993]
[1.1071484725288567, 0.011615720119153707]
[1.1081248995626551, 0.011830965653734097]
[1.1091008942091354, 0.012048163357522469]
[1.110076452565332, 0.012267312361953487]
[1.1110515707300253, 0.012488411790658915]
[1.1120262448037552, 0.012711460759470413]
[1.113000470888837, 0.0129364583764239]
[1.1139742450893786, 0.013163403741762409]
[1.1149475635112942, 0.013392295947940227]
[1.1159204222623207, 0.013623134079626198]
[1.1168928174520334, 0.01385591721370747]
[1.117864745191861, 0.014090644419293313]
[1.1188362015951026, 0.014327314757718567]
[1.1198071827769405, 0.014565927282547705]
[1.1207776848544588, 0.014806481039578387]
[1.1217477039466563, 0.015048975066845287]
[1.1227172361744653, 0.015293408394624237]
[1.1236862776607628, 0.015539780045435748]
[1.124654824530389, 0.01578808903404911]
[1.1256228729101623, 0.016038334367486074]
[1.1265904189288947, 0.016290515045025246]
[1.1275574587174066, 0.016544630058205768]
[1.1285239884085432, 0.016800678390831478]
[1.1294900041371894, 0.017058659018974937]
[1.130455502040285, 0.01731857091098152]
[1.1314204782568418, 0.017580413027473582]
[1.132384928927956, 0.017844184321354418]
[1.1333488501968272, 0.01810988373781299]
[1.1343122382087714, 0.018377510214327458]
[1.1352750891112364, 0.018647062680669763]
[1.1362373990538186, 0.018918540058910024]
